,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LYN,0.5938849,-0.7941285,0.7269199,0.24843101,1.0487088,0.8091705,0.5667796,0.4450792,0.55744785,-0.34543738,-1.2210052,0.11706437,-0.5020718,-0.027000513,0.7455071,-0.49188137
ILK,0.7187174,-0.18664445,-0.5526562,0.87524146,0.5782406,0.3310251,0.71330965,0.038144685,-0.14040376,0.0047537466,-0.8737398,-0.07436946,0.367623,-0.9722429,-0.39384857,0.25419292
RAF1,-0.13012353,-0.2366337,0.85673493,-1.8404773,0.31787568,0.9725166,0.8480038,0.41215578,-0.5194634,0.5382831,-0.08650989,-2.3512287,1.6160411,-1.5060673,0.93726814,0.7851829
ROCK2,1.3525002,-1.9589736,0.01459423,0.7268983,1.6524246,0.8592644,0.86147714,-0.46311226,0.37839207,1.1126451,0.29741892,0.069209695,-0.33828768,-1.4210883,-1.002998,-0.15210655
ROCK1,0.7258391,-0.74923456,-0.3219193,-0.026644906,0.6216917,0.8961316,0.9409066,-0.86148334,-0.23230232,0.78226906,-0.6921443,-0.387521,-0.254245,-0.853316,-0.6580295,-0.3162596
JAK2,0.90779,-0.7677755,1.4886328,-0.16770007,0.7383599,0.77490425,1.0855194,0.01313097,0.0951789,-0.88470846,-1.1656682,0.58555436,0.40027595,0.0046826745,0.050842993,0.0055345013
LIMK1,2.167928,-0.9174256,-0.575702,-1.1441414,0.3723801,1.3374289,1.5653067,0.3779228,0.16551901,-0.25072008,-2.5420313,-0.10712538,-0.083822645,0.20247407,0.10618936,0.07862728
EPHB3,0.7571656,0.77451307,0.52535194,1.1091979,1.6956567,-0.44274446,1.4766594,0.13261917,1.7118162,0.2484673,-0.97640926,-0.048155103,0.098766565,-0.8213157,0.6996394,-2.3151984
CIT,-0.4685962,-0.623627,0.5567155,0.43754792,0.3864932,0.15842439,1.1197522,0.18219516,0.5621008,0.1506615,0.60170996,-0.58311313,0.25102836,0.19930016,-0.4153268,-0.13213827
BUB1B,0.15650617,-0.19413999,-0.5335475,0.085925214,0.27351418,0.6884107,2.1099598,0.80375254,-0.13077362,0.12536931,0.85897505,-1.5686364,1.3411345,1.260271,-0.12259934,0.4515824
BUB1,-0.786842,-1.8579928,-0.5021971,0.72928584,-0.0016435542,0.6896903,2.4071183,0.080919296,0.737978,-0.7260939,0.6715214,-1.3514313,-0.47199896,-0.18592261,1.0797766,1.280239
GRK2,0.38017166,-0.41511327,1.5292544,-0.102051556,0.8948544,0.6322092,1.0943279,0.43936992,-0.39312014,-0.50449944,-1.0758538,0.31476933,-0.88085437,-0.60160506,-1.1701318,0.26986483
GRK5,0.6544133,0.11839432,1.1244379,0.64143044,-0.10846082,0.92183363,1.4304998,0.031458605,-0.16175823,0.067748465,-0.79591274,0.60495913,0.22677422,-0.82837445,-0.085154675,0.296463
GRK6,-0.046322774,-0.6320127,1.1049031,0.6303879,0.6922586,0.8295192,0.884837,0.6025931,-0.060490042,-0.26319262,-1.2636756,0.65092295,0.09433281,-0.51484054,-0.4041715,0.068223454
PRKCG,0.24236587,-0.28190568,0.98825973,0.6713919,0.39707255,0.31458795,1.0285101,0.51368016,0.555078,0.43969464,0.108675085,-0.64098006,-0.5771049,-1.0665754,-0.2855384,-0.41835782
PRKCD,0.004432735,-0.38499108,0.79745597,0.14098878,0.2738881,0.37954748,1.2645041,0.62595314,-0.6292817,-0.28153706,-1.1370986,0.4381989,-0.50288266,-1.0364399,-0.5413287,0.58870333
CSNK1G2,0.7258848,0.50489336,1.4282535,-0.36655807,-0.21728578,0.98780733,1.0843894,0.7569073,0.33496356,-0.29231313,-0.8292513,-0.94069177,-0.48325413,-0.34152302,0.28977054,-0.50021505
GRK3,-0.16901058,-0.2567783,1.2187442,0.27357075,-0.034864288,0.42531735,1.1528702,0.68718636,0.39873713,0.08802001,-0.29426673,-0.41419625,0.051548045,-0.7625427,-0.7937707,-0.5881266
GRK4,-0.63521516,0.41103455,0.45846877,0.9525032,1.680787,0.15796857,1.6803696,-0.57219523,-0.10685431,-0.28460914,-0.51078385,-0.756406,-0.43297195,-0.75408506,1.1757193,0.6640169
MAST3,0.07946932,-0.6011553,1.1014163,0.30970517,-0.0023569192,0.6388025,0.8111582,0.7308637,0.4662249,-0.069812365,-0.6414559,-0.09017568,-0.07336218,-0.6306781,-0.60546213,0.009686363
MAST4,0.8475961,-0.9343588,0.42733595,1.2596514,0.19386305,-0.59880435,2.1418312,1.4721143,0.45747906,1.8983842,-0.5830401,0.055943634,-0.62496704,-1.126098,-0.91491926,1.4420198
CLASP1,0.24669556,-0.23171757,-1.7207049,0.51456094,0.44244897,-1.0138787,4.160175,1.0329561,0.20454456,0.43966675,0.86874807,-0.24366,-0.5099346,0.051151834,-2.4847376,0.03921284
PLK1,-0.49742296,-1.569107,-0.49598268,0.013733783,0.4507853,1.490533,1.8349372,0.39672032,0.7839054,-0.30192837,1.3746462,-0.59160477,0.7776234,0.16599397,0.017587347,0.8442045
ABL1,1.6126375,-0.6368948,-0.5587429,0.9428642,0.17758612,1.4638615,2.1006913,-1.1998907,1.606744,-1.4049321,-0.2642248,-0.15400937,0.12228054,-1.7054874,-0.03542669,-0.5141317
MAST1,-0.86058533,0.13238123,0.7578066,0.48868677,-0.18641771,0.28368562,1.3301779,0.5780774,0.4931012,-0.1948952,0.030510297,-0.6449373,0.36001813,-0.627965,-0.043356877,-0.14498876
PLK3,-0.8936297,-0.5028499,0.18033575,-0.6046726,0.290646,-0.076943114,2.3938286,0.8834231,0.6558293,-0.46767658,1.3550551,0.08158078,-0.26780492,-0.39890268,-0.09447421,1.3375596
PLK4,-0.76234454,-1.303632,1.3057555,-1.6048616,0.25708202,0.9100079,2.246713,-0.20164302,0.84043956,-0.44526598,0.34584677,-0.696382,0.66065246,1.2927411,-0.3466403,-0.07554949
PLK2,-1.225419,-0.9794338,0.33761153,-0.4695632,-0.09016056,0.8125764,1.9246922,0.8145413,0.9337602,-0.3356092,0.73816675,-1.0100684,-0.07952989,0.5853981,-0.64442885,-0.2169063
LRRK2,1.1281008,-0.24357937,1.026948,-0.08218795,-0.2803888,1.0449691,1.526279,0.20186973,0.09500681,0.22463752,-0.6242143,0.3181247,-0.5382324,0.2877382,0.1682811,0.8940392
MASTL,-0.6696052,-1.4253985,0.07833624,-0.5415203,1.1890612,0.23633237,1.2565964,0.99751806,0.75977737,-1.1655716,0.5934083,-1.4510666,0.33841592,0.7010813,-0.09246534,0.723424
RPS6KA1,-1.056793,-0.5127856,-0.4409644,1.1619494,0.5979656,0.30822772,1.3035331,0.10701035,0.0075410875,-0.17306285,-1.8696619,-1.2911166,-1.3484509,0.17921995,-0.49358812,0.11445018
CHEK2,0.027771225,-0.92436326,-0.36438048,0.6420779,1.301152,1.1148336,1.1893775,0.051956598,1.1913565,0.01730574,0.94731265,-1.5791999,0.07052665,0.6783314,-0.75921696,0.054669715
TTK,-0.23052973,-1.4508686,0.17893928,0.38883123,0.494369,0.8513715,1.3566787,1.6411859,0.77879524,0.36699677,0.5375895,-0.18729976,1.2823894,0.9873841,-0.6945118,0.8817733
STK38,-1.4586552,0.47218722,-0.67103744,0.14295267,-0.35967416,2.0768723,1.1665424,1.280439,-0.24383631,-0.5085912,-1.7931774,-0.43972263,-0.059553955,-0.24725088,-0.063106515,0.35810855
TP53RK,-0.65061396,-0.3986946,-1.1227365,-1.0510634,1.9922788,0.62132,0.5795022,0.5620981,-0.289284,0.8061409,-2.130935,-0.42426953,0.3074242,0.51927954,0.1555478,-0.2690553
MAP3K2,0.24156497,-0.70831037,0.37630555,-0.27788034,-0.03471115,1.3685509,1.7856268,-0.32378864,-0.122837745,-0.6603408,-1.8648822,0.17279333,0.60324126,0.6277555,-0.6447326,0.5365264
PAK2,0.573842,-1.2042767,0.35554495,-0.46427283,0.40833434,1.0503589,1.4000815,0.2737749,-0.5612308,-0.46556687,-2.2000368,-0.24761267,0.18836994,0.717301,-0.045273174,-0.25409353
