,PPI
NTRK1*FLT1,561
NTRK1*FLT4,538
NTRK1*KDR,531
NTRK1*MAP3K13,446
NTRK1*BRAF,715
FLT1*FLT4,984
FLT1*KDR,998
FLT4*KDR,988
FLT4*BMPR2,429
KDR*ACVRL1,508
KDR*TGFBR1,489
KDR*BMPR2,400
IRAK1*IRAK2,980
IRAK1*IRAK3,984
IRAK1*IRAK4,991
IRAK1*MAP3K7,988
IRAK1*RIPK2,932
IRAK2*IRAK3,977
IRAK2*IRAK4,996
IRAK2*MAP3K7,710
IRAK2*RIPK1,453
IRAK2*RIPK2,664
IRAK3*IRAK4,957
IRAK4*MAP3K7,854
LIMK2*LIMK1,950
LIMK1*BMPR1B,814
LIMK1*ACTR2,464
LIMK1*BMPR2,914
LRRK2*LRRK1,706
LRRK2*RIPK1,436
LRRK2*RIPK2,464
LRRK2*RIPK4,510
LRRK2*ACTR2,638
ILK*RAF1,537
DLK1*MAP3K13,400
MAP3K11*ARAF,904
MAP3K11*BRAF,906
MAP3K11*KSR1,908
MAP3K11*RAF1,913
MAP3K7*NR2C2,911
MAP3K7*RIPK1,989
MAP3K7*RIPK2,949
MAP3K7*BMPR1A,908
MAP3K7*TGFBR1,976
MAP3K7*BMPR1B,909
MAP3K7*BMPR2,908
MAP3K7*TGFBR2,940
NR2C2*TGFBR1,903
NR2C2*TGFBR2,904
ARAF*BRAF,974
ARAF*KSR1,720
ARAF*RAF1,923
ARAF*KSR2,759
ARAF*CNKSR2,780
BRAF*KSR1,974
BRAF*RAF1,993
BRAF*KSR2,815
BRAF*CNKSR2,773
KSR1*RAF1,984
KSR1*KSR2,809
KSR1*CNKSR2,936
RAF1*KSR2,805
RAF1*CNKSR2,935
KSR2*CNKSR2,721
RIPK1*RIPK2,463
RIPK1*RIPK3,997
RIPK1*MLKL,844
RIPK3*MLKL,989
ACVRL1*TGFBR1,949
ACVRL1*BMPR2,927
ACVRL1*TGFBR2,975
BMPR1A*BMPR1B,927
BMPR1A*ACTR2,545
BMPR1A*AMHR2,852
BMPR1A*BMPR2,961
ACVR1B*TGFBR1,562
ACVR1B*ACVR1C,735
ACVR1B*BMPR2,407
TGFBR1*ACVR1C,551
TGFBR1*ACTR2,457
TGFBR1*BMPR2,602
TGFBR1*TGFBR2,998
BMPR1B*ACTR2,545
BMPR1B*BMPR2,960
AMHR2*BMPR2,819
