,PPI
RIOK1*RIOK3,919
RIOK1*TP53RK,623
RIOK1*CSNK2A1,652
RIOK1*EGFR,525
RIOK2*RIOK3,992
RIOK2*CSNK1G2,443
RIOK2*TTBK2,581
RIOK2*TTBK1,563
RIOK2*VRK1,580
RIOK2*VRK2,565
RIOK2*VRK3,563
RIOK2*SRPK1,496
RIOK2*SRPK2,466
RIOK2*TP53RK,558
RIOK2*CSNK2A1,449
RIOK2*TLK1,422
RIOK2*MYO3A,571
RIOK3*ACTR2,450
TAF1*TAF1L,900
TAF1*CDK7,722
TAF1*MAPK8,901
TAF1*CSNK2A1,495
TAF1L*CDK7,703
TRIM24*TRIM28,860
TRIM24*TRIM33,892
TRIM24*CAMK2A,902
TRIM24*CAMK2B,902
TRIM24*CAMK2G,903
TRIM24*CAMK2D,902
TRIM24*MARK3,617
TRIM24*MAPK3,652
TRIM24*MAPK1,665
TRIM24*MAP2K1,658
TRIM24*MAP2K2,617
TRIM24*CSK,607
TRIM24*FGFR1,692
TRIM24*JAK2,912
TRIM24*RET,744
TRIM24*SRC,648
TRIM24*ARAF,904
TRIM24*BRAF,759
TRIM24*KSR1,615
TRIM24*RAF1,909
TRIM24*KSR2,615
TRIM24*CNKSR2,600
TRIM28*TRIM33,751
TRIM28*CHEK2,504
TRIM28*CDK4,459
TRIM28*CDK9,565
TRIM28*MAPK3,456
TRIM28*NR2C2,548
TRIM33*CDK9,720
TRIM33*RET,586
CAMK1G*CAMK1D,457
CAMK1G*CAMK2A,579
CAMK1G*CAMK2B,466
CAMK1G*CAMK2G,464
CAMK1G*CAMK2D,422
CAMK1G*PKDCC,439
CAMK4*CAMK2A,674
CAMK4*CAMK2B,911
CAMK4*CAMK2G,656
CAMK4*CAMK2D,643
CAMK4*SRPK1,448
CAMK4*CAMKK2,949
CAMK4*CAMKK1,949
CAMK1D*CAMKK1,512
CAMK1D*MOS,402
CAMK2A*CAMK2B,996
CAMK2A*CAMK2G,960
CAMK2A*CAMK2D,996
CAMK2A*MARK3,903
CAMK2A*MAP2K1,620
CAMK2A*MAP2K2,607
CAMK2A*EGFR,402
CAMK2A*JAK1,901
CAMK2A*JAK2,901
CAMK2A*SRC,584
CAMK2A*MAP3K7,903
CAMK2A*ARAF,512
CAMK2A*BRAF,522
CAMK2A*KSR1,904
CAMK2A*RAF1,515
CAMK2A*RIPK3,806
CAMK2B*CAMK2G,953
CAMK2B*CAMK2D,996
CAMK2B*MARK3,908
CAMK2B*CAMKK2,910
CAMK2B*CAMKK1,914
CAMK2B*MAP3K5,908
CAMK2B*MAP2K1,558
CAMK2B*MAP2K2,549
CAMK2B*MAP2K6,908
CAMK2B*MAP2K3,910
CAMK2B*PTK2B,916
CAMK2B*JAK1,901
CAMK2B*JAK2,901
CAMK2B*SRC,910
CAMK2B*ARAF,522
CAMK2B*BRAF,522
CAMK2B*KSR1,905
CAMK2B*RAF1,519
CAMK2B*RIPK3,805
CAMK2G*CAMK2D,987
CAMK2G*MARK3,904
CAMK2G*MAP2K1,614
CAMK2G*MAP2K2,611
CAMK2G*JAK1,902
CAMK2G*JAK2,903
CAMK2G*SRC,586
CAMK2G*ARAF,515
CAMK2G*BRAF,512
CAMK2G*KSR1,905
